S/N,AMOUNT,ITEM,??,UNIX TIMESTAMP,STATUS,PAYMENT REF,SESSION,,PRINT STATUS,LEVEL,??
107,25000,CERT,1,1613378316,successful,42QF5RE0A,2020/2021,nil,UNPRINTED,HND,YES
108,25000,CERT,1,1613381101,successful,5BJ9TVMSC,2020/2021,nil,PRINTED,HND,YES
165,10000,TRANS,1,1613640582,successful,8715RBUJC,2020/2021,nil,PRINTED,HND,NIL
109,25000,CERT,1,1613382141,successful,QCMW9T4SU,2020/2021,nil,PRINTED,ND,NIL
110,10000,TRANS,1,1613381481,successful,60PQUVAM0,2020/2021,nil,PRINTED,ND,NIL
111,25000,CERT,1,1613382860,successful,N0DSH2JAT,2020/2021,nil,PRINTED,HND,NIL
112,25000,CERT,1,1613383728,successful,BVD5M61WU,2020/2021,nil,PRINTED,ND,NIL
114,25000,CERT,1,1613384687,successful,29EFVG61W,2020/2021,nil,PRINTED,ND,NIL
113,25000,CERT,1,1613383895,successful,96S5FWB74,2020/2021,nil,PRINTED,ND,YES
115,25000,CERT,1,1613464854,successful,VKUPGHEW2,2020/2021,nil,PRINTED,ND,NIL
116,25000,CERT,1,1613385011,successful,KTQ6JB178,2020/2021,nil,PRINTED,ND,NIL
117,25000,CERT,1,1613385210,successful,1T60EUBW0,2020/2021,nil,PRINTED,HND,YES
119,25000,CERT,1,1613387059,successful,17JCE9H2D,2020/2021,nil,PRINTED,ND,YES
118,25000,CERT,1,1613385533,successful,N0DSH2JAT,2020/2021,nil,UNPRINTED,ND,YES
120,25000,CERT,1,1613387792,successful,T2GQFDWAP,2020/2021,nil,PRINTED,ND,NIL
121,25000,CERT,1,1613389046,successful,7FW0V41SQ,2020/2021,nil,PRINTED,ND,YES
122,25000,CERT,1,1613390500,successful,697RE2SDP,2020/2021,nil,PRINTED,ND,YES
123,25000,CERT,1,1613393594,successful,Q6U8SHJTV,2020/2021,nil,PRINTED,ND,YES
124,20000,CERT,1,1613398357,successful,JB2VQ8WUF,2020/2021,nil,PRINTED,ND,NIL
125,25000,CERT,1,1649070068,successful,SVWEF09Q0,2020/2021,nil,PRINTED,ND,YES
126,10000,TRANS,1,1634999196,failed,02UFNRC47,2020/2021,nil,UNPRINTED,ND,NIL
127,25000,CERT,1,1613413014,failed,57T0DFB86,2020/2021,nil,UNPRINTED,HND,NIL
128,25000,CERT,1,1613465442,successful,H0SE8WJQ6,2020/2021,nil,UNPRINTED,ND,YES
129,25000,CERT,1,1613469122,successful,C0EKW6D0J,2020/2021,nil,PRINTED,ND,YES
130,25000,CERT,1,1613467352,successful,TH46BNJF2,2020/2021,nil,PRINTED,ND,YES
131,25000,CERT,1,1613467559,successful,W0T712FCM,2020/2021,nil,PRINTED,ND,YES
132,25000,CERT,1,1613469624,successful,VE0BSG0CJ,2020/2021,nil,PRINTED,ND,NIL
133,25000,CERT,1,1613468637,successful,74HEJ0M80,2020/2021,nil,PRINTED,ND,YES
134,25000,CERT,1,1613469368,successful,7MHJS0GB1,2020/2021,nil,PRINTED,ND,YES
